painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q19953657,Lycinna,http://commons.wikimedia.org/wiki/Special:FilePath/Lycinna%2C%20by%20John%20William%20Godward.jpg,1918-01-01T00:00:00Z,John William Godward,male,United Kingdom of Great Britain and Ireland,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q19953659,Ethel Warwick,http://commons.wikimedia.org/wiki/Special:FilePath/Ethel%20godward.jpg,1905-01-01T00:00:00Z,John William Godward,male,United Kingdom of Great Britain and Ireland,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q17492870,Portrait of Robert de Montesquiou,http://commons.wikimedia.org/wiki/Special:FilePath/Montesquiou%2C%20Robert%20de%20-%20Boldini.jpg,1897-01-01T00:00:00Z,Giovanni Boldini,male,Kingdom of Italy,Macchiaioli
http://www.wikidata.org/entity/Q17493962,Madame Max,http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20Max%2C%20Boldini.png,1896-01-01T00:00:00Z,Giovanni Boldini,male,Kingdom of Italy,Macchiaioli
http://www.wikidata.org/entity/Q19905893,"Consuelo Vanderbilt (1876–1964), Duchess of Marlborough, and Her Son, Lord Ivor Spencer-Churchill (1898–1956)",http://commons.wikimedia.org/wiki/Special:FilePath/Consuelo%20Vanderbilt.jpg,1906-01-01T00:00:00Z,Giovanni Boldini,male,Kingdom of Italy,Macchiaioli
http://www.wikidata.org/entity/Q19913399,"Mrs. Charles Warren-Cram (Ella Brooks Carter, 1846–1896)",http://commons.wikimedia.org/wiki/Special:FilePath/Mrs.%20Charles%20Warren-Cram%20%28Ella%20Brooks%20Carter%2C%201846%E2%80%931896%29%20MET%20EP1482.jpg,1885-01-01T00:00:00Z,Giovanni Boldini,male,Kingdom of Italy,Macchiaioli
http://www.wikidata.org/entity/Q52201208,"Margaret Lushington, Mrs Stephen Langton Massingberd (d.1906)",http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Hughes%20%281832-1915%29%20-%20Margaret%20Lushington%20%28d.1906%29%2C%20Mrs%20Stephen%20Langton%20Massingberd%20-%20637629%20-%20National%20Trust.jpg,1903-01-01T00:00:00Z,Arthur Hughes,male,United Kingdom of Great Britain and Ireland,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q98148533,Study of a Girl's Head,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Hughes%20%281832-1915%29%20-%20Study%20of%20a%20Girl%27s%20Head%20-%201922P23%20-%20Birmingham%20Museums%20Trust.jpg,1883-01-01T00:00:00Z,Arthur Hughes,male,United Kingdom of Great Britain and Ireland,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q24057636,Portrait of the Artist’s Father,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20the%20father%20%28Malevich%2C%20ca.%201902%E2%80%9303%29.jpg,1902-01-01T00:00:00Z,Kazimir Malevich,male,Soviet Union,Russian avant-garde
http://www.wikidata.org/entity/Q24057746,Portrait of a Man (Alexei Morgunov?),http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20man%20%28Malevich%2C%201912%29.jpg,1912-01-01T00:00:00Z,Kazimir Malevich,male,Soviet Union,Russian avant-garde
http://www.wikidata.org/entity/Q27061824,Portrait of Una,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Una%20%28Malevich%2C%201932%29.png,1932-01-01T00:00:00Z,Kazimir Malevich,male,Soviet Union,Russian avant-garde
http://www.wikidata.org/entity/Q42422890,Portrait of a Woman with a Yellow Hat,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Woman%20in%20Yellow%20Hat%20%28Malevich%2C%201930%29.jpg,1920-01-01T00:00:00Z,Kazimir Malevich,male,Soviet Union,Russian avant-garde
http://www.wikidata.org/entity/Q28803782,"Elizabeth Moerlein Portrait, 1869",http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Mosler%20-%20Elizabeth%20Moerlein%20Portrait%2C%201869%20-%20Google%20Art%20Project.jpg,1869-01-01T00:00:00Z,Henry Mosler,male,Kingdom of Prussia,Pont-Aven School
http://www.wikidata.org/entity/Q46927586,The Quadroon Girl,http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Quadroon%20Girl%27%20by%20Henry%20Mosler%2C%20Cincinnati%20Art%20Museum.JPG,1878-01-01T00:00:00Z,Henry Mosler,male,Kingdom of Prussia,Pont-Aven School
